  SN    |    MJD|f|  omag|_omag|  Phase
SN2015F |57146.1|B|16.501|0.012| 39.200
SN2015F |57148.0|B|16.538|0.011| 41.100
SN2015F |57152.1|B|16.630|0.017| 45.200
SN2015F |57154.0|B|16.665|0.010| 47.100
SN2015F |57157.0|B|16.719|0.009| 50.100
SN2015F |57159.0|B|16.762|0.010| 52.100
SN2015F |57161.1|B|16.804|0.012| 54.200
SN2015F |57163.0|B|16.830|0.010| 56.100
SN2015F |57175.9|B|17.006|0.026| 69.000
SN2015F |57178.0|B|17.054|0.014| 71.100
SN2015F |57180.0|B|17.058|0.015| 73.100
SN2015F |57182.0|B|17.100|0.015| 75.100
SN2015F |57249.4|B|18.144|0.029|142.500
SN2015F |57092.1|V|16.365|0.013|-14.800
SN2015F |57093.1|V|15.797|0.011|-13.800
SN2015F |57094.0|V|15.339|0.009|-12.900
SN2015F |57095.1|V|14.943|0.012|-11.800
SN2015F |57096.0|V|14.624|0.009|-10.900
SN2015F |57097.1|V|14.328|0.009| -9.800
SN2015F |57098.1|V|14.101|0.012| -8.800
SN2015F |57099.0|V|13.906|0.009| -7.900
SN2015F |57100.1|V|13.778|0.008| -6.800
SN2015F |57101.0|V|13.607|0.005| -5.900
SN2015F |57102.1|V|13.505|0.005| -4.800
SN2015F |57103.2|V|13.411|0.005| -3.700
SN2015F |57104.1|V|13.404|0.010| -2.800
SN2015F |57110.0|V|13.288|0.007|  3.100
SN2015F |57111.0|V|13.324|0.008|  4.100
SN2015F |57112.0|V|13.316|0.006|  5.100
SN2015F |57113.0|V|13.368|0.008|  6.100
SN2015F |57117.0|V|13.555|0.006| 10.100
SN2015F |57118.0|V|13.644|0.008| 11.100
SN2015F |57119.0|V|13.702|0.007| 12.100
SN2015F |57120.0|V|13.789|0.008| 13.100
SN2015F |57121.0|V|13.857|0.005| 14.100
SN2015F |57122.0|V|13.920|0.009| 15.100
SN2015F |57123.0|V|13.997|0.007| 16.100
SN2015F |57125.0|V|14.118|0.005| 18.100
SN2015F |57126.1|V|14.192|0.005| 19.200
SN2015F |57127.0|V|14.253|0.005| 20.100
SN2015F |57129.1|V|14.403|0.007| 22.200
SN2015F |57130.1|V|14.497|0.009| 23.200
SN2015F |57131.1|V|14.539|0.010| 24.200
SN2015F |57134.0|V|14.731|0.006| 27.100
SN2015F |57135.0|V|14.819|0.010| 28.100
SN2015F |57136.0|V|14.874|0.008| 29.100
SN2015F |57137.0|V|14.947|0.008| 30.100
SN2015F |57138.1|V|15.014|0.005| 31.200
SN2015F |57139.0|V|15.061|0.009| 32.100
SN2015F |57141.1|V|15.224|0.014| 34.200
SN2015F |57143.1|V|15.264|0.006| 36.200
SN2015F |57146.1|V|15.385|0.010| 39.200
SN2015F |57148.0|V|15.445|0.008| 41.100
SN2015F |57152.1|V|15.526|0.008| 45.200
SN2015F |57154.0|V|15.621|0.011| 47.100
SN2015F |57157.0|V|15.678|0.012| 50.100
SN2015F |57159.0|V|15.758|0.012| 52.100
SN2015F |57161.1|V|15.791|0.011| 54.200
SN2015F |57163.0|V|15.819|0.008| 56.100
SN2015F |57175.9|V|16.126|0.013| 69.000
SN2015F |57178.0|V|16.213|0.010| 71.100
SN2015F |57180.0|V|16.232|0.011| 73.100
SN2015F |57182.0|V|16.275|0.011| 75.100
SN2015F |57092.1|u|18.366|0.028|-14.800
SN2015F |57093.1|u|17.422|0.013|-13.800
SN2015F |57094.0|u|16.677|0.011|-12.900
SN2015F |57095.1|u|16.020|0.011|-11.800
SN2015F |57096.0|u|15.522|0.010|-10.900
SN2015F |57097.1|u|15.083|0.008| -9.800
SN2015F |57098.1|u|14.774|0.008| -8.800
SN2015F |57099.0|u|14.549|0.009| -7.900
SN2015F |57100.1|u|14.364|0.006| -6.800
SN2015F |57101.1|u|14.232|0.005| -5.800
SN2015F |57102.1|u|14.145|0.005| -4.800
SN2015F |57103.2|u|14.078|0.005| -3.700
SN2015F |57104.1|u|14.071|0.009| -2.800
SN2015F |57110.0|u|14.378|0.007|  3.100
SN2015F |57111.0|u|14.509|0.009|  4.100
SN2015F |57112.0|u|14.616|0.008|  5.100
SN2015F |57113.0|u|14.739|0.009|  6.100
SN2015F |57117.0|u|15.298|0.009| 10.100
SN2015F |57118.0|u|15.432|0.009| 11.100
SN2015F |57119.0|u|15.613|0.010| 12.100
SN2015F |57120.0|u|15.795|0.010| 13.100
SN2015F |57121.0|u|15.946|0.009| 14.100
SN2015F |57122.0|u|16.100|0.011| 15.100
SN2015F |57123.0|u|16.254|0.009| 16.100
SN2015F |57125.1|u|16.515|0.015| 18.200
SN2015F |57126.1|u|16.654|0.012| 19.200
